bp,beatmap_id,beatmapset_id,artist,title,version,mods,pp,accuracy,star_rating_api,od,ar,cs,hp,bpm,length_s,objects,osu_file,osu_md5,file_has_beatmapid_header,official_star_rating,official_aim_difficulty,official_speed_difficulty,official_slider_factor,official_speed_note_count,official_max_combo,official_aim_slider_count,official_aim_strain_count,official_speed_strain_count
50,4684761,2211479,Avenged Sevenfold,Save Me,Vile World,HD,440.255,0.9926186112807982,6.93678,9,9.5,4,5,190,651,3274,osu/4684761.osu,ca32609c74330764c41f2c77274f4aaa,true,7.311110019683838,3.432529926300049,3.354569911956787,0.9919099807739258,1203.8399658203125,4363,233.2449951171875,194.5469970703125,527.781005859375
51,657916,292301,xi,Blue Zenith,RLC's Extra,HDHR,438.304,0.9651559454191033,6.8285,8.5,9.2,4,7,200,249,1368,osu/657916.osu,6802e91a5a3ea77211abe3729a5bd84b,true,7.470860004425049,3.784450054168701,3.2094600200653076,0.9919949769973755,689.25,1876,225.3350067138672,242.76600646972656,314.3559875488281
52,5426594,2475471,ke-ji feat. Nanahira,Ange du Blanc Pur,Ange du Blanc Pur,HD,437.263,0.9823619631901841,7.00411,9.5,9.7,4.5,5,182,236,1304,osu/5426594.osu,289b62c192386b672d89b2a8a1309917,true,7.331399917602539,3.663209915161133,3.1762900352478027,0.9969369769096375,825.9199829101562,1674,36.795101165771484,157.56700134277344,536.780029296875
53,5108662,2368159,Demetori,Hishin Matara ~ Four seasons where Starless disappeared.,Extra Stage,HD,432.283,0.9882688117982236,6.58373,9.5,9.6,4,5,182,383,1989,osu/5108662.osu,3bb6ee9098f6a4317768cff9deb1ddbc,true,6.981989860534668,3.2850499153137207,3.1854701042175293,0.996038019657135,809.9420166015625,2658,204.72300720214844,164.7169952392578,487.364990234375
54,2330482,1115534,Saint Snow,DROPOUT!?,Curse,HD,429.849,0.984984984984985,6.65885,9.8,9.6,4.2,6.6,182,105,666,osu/2330482.osu,ec925abb8869a8b118941f550b89155c,true,6.975669860839844,3.49783992767334,3.0053200721740723,0.9983130097389221,401.6629943847656,820,65.35440063476562,145.03199768066406,234.6179962158203
55,5206607,2086612,Shota Kageyama,Sentou de Pinch!,Rare & Mythical Extreme,HD,429.558,0.9977851605758582,6.60611,10,9.5,4.5,8.5,177.98,33,301,osu/5206607.osu,5bf547910770e97d0c5cb709fa9cdf92,true,6.832499980926514,3.5440900325775146,2.8717799186706543,0.9983239769935608,280.28399658203125,351,13.64330005645752,117.69100189208984,187.60899353027344
56,767203,347719,Demetori,Kuuchuu ni Shizumu Kishinjou ~ Counter-Clock World,Extra Stage,HDHR,428.595,0.9749385749385749,6.57967,9,9.3,4,6.5,185,356,2035,osu/767203.osu,da637bf3af7162f08708380e193977ee,true,7.260819911956787,3.674880027770996,3.072930097579956,0.9909769892692566,1087.219970703125,2514,229.406005859375,307.94000244140625,457.281005859375
57,930249,384772,Yuaru,Asu no Yozora Shoukaihan,Sky Arrow,HD,428.134,0.995609220636663,6.62534,9,9.5,4.2,7,185,173,911,osu/930249.osu,9488e124a46edc351456a43e85d79022,true,6.900879859924316,3.4650800228118896,2.998879909515381,0.9784520268440247,367.66400146484375,1267,113.15299987792969,105.48400115966797,187.60499572753906
58,3018109,1470072,Mage,The Words I Never Said,Regret,HDHR,427.492,0.983926521239954,5.90699,9.2,9.2,3.9,5,172,312,1742,osu/3018109.osu,70b1226af3d8b76d859982b505c4ce11,true,6.6620402336120605,3.0915300846099854,3.074389934539795,0.9909989833831787,1175.4300537109375,2376,38.76089859008789,138.91200256347656,707.969970703125
59,4583961,2171754,*namirin,Daidai Genome,Love & Lust,HDDT,426.853,0.9937926753569212,4.62628,8.2,8,4,6,135,203,537,osu/4583961.osu,0f6bfb11b59ae8f2557f2326452a81a1,true,6.787350177764893,3.585089921951294,2.5686800479888916,0.9931970238685608,135.072998046875,672,53.79560089111328,116.19200134277344,67.4896011352539
60,5038991,2336672,FRASER EDWARDS,Stop Saying We Sound Like Dragonforce,Not Roupus' Legend,HD,425.512,0.9901370779003678,6.73425,9.3,9.5,4.2,5,200,278,1994,osu/5038991.osu,f0812a9f45237308355dd4730edc068a,true,7.142429828643799,3.15910005569458,3.43107008934021,0.9797469973564148,1168.77001953125,2812,310.239013671875,346.5539855957031,531.5919799804688
61,2477065,1188740,ke-ji feat. Nanahira,Ange du Blanc Pur,Extra,HDHR,425.025,0.98786717752235,6.14934,9,9.3,4,5.5,182,237,1044,osu/2477065.osu,c46b1a459b950e5ea6569c23a811b9ea,true,6.749489784240723,3.3961400985717773,2.944200038909912,0.9950339794158936,491.0660095214844,1635,116.98200225830078,133.31399536132812,254.16700744628906
62,2126752,1016145,Victorius,Twilight Skies,Born to Conquer the Universe,HD,423.592,0.9705354227881162,6.57032,9.4,9.5,4,5.5,180,300,2042,osu/2126752.osu,bd5f494fec7463de91a0ff0819f88af8,true,7.020470142364502,3.2595601081848145,3.1922900676727295,0.9991819858551025,1349.75,3050,146.76600646972656,209.48300170898438,706.4869995117188
63,5040092,2341780,Jun Ishikawa,Green Greens,Poyo!,HDHR,421.747,0.9803508771929824,6.31906,9.4,9.4,3.8,4,181,56,475,osu/5040092.osu,208b26c022726eeb15d58061150d2b21,true,7.0036702156066895,3.6579298973083496,2.9513399600982666,0.9970149993896484,371.0419921875,546,21.185199737548828,90.9729995727539,191.35299682617188
64,4968396,2179269,SHIKI,Pure Ruby (Game Ver.),Extreme,HDHR,420.714,0.9787878787878788,6.19727,9.2,9.4,4,5.5,178,117,660,osu/4968396.osu,02682aae70c9ac48cd11bfb2e1dd8503,true,7.0208001136779785,3.651639938354492,2.9141600131988525,0.9920690059661865,395.00299072265625,858,44.43090057373047,113.63300323486328,234.58599853515625
65,4815899,2262416,ke-ji feat. Nanahira,Ange du Blanc Pur,Saint,HD,420.423,0.9869135802469136,6.80641,9.5,9.5,4,6,182,236,1350,osu/4815899.osu,9d137866366ff766a05888a1b2d7365a,true,7.1957597732543945,3.503959894180298,3.154020071029663,0.9984009861946106,828.6719970703125,1743,146.92100524902344,172.99099731445312,501.4830017089844
66,3665005,1781620,Fellowship,Glory Days,Maki's Extra,HDHR,419.153,0.9808074781225139,5.96997,9,9.3,4,5.6,178,287,1676,osu/3665005.osu,0e38c93a039ce202e33e26afbf747565,true,6.671370029449463,3.1984899044036865,3.032939910888672,0.9907270073890686,1000.4600219726562,2408,211.86099243164062,252.72000122070312,462.8919982910156
67,4020786,1943645,Vulpecula,Crystallite Dream,In Heartache's Profound Love,HDHR,418.739,0.9670610067269775,6.62322,8.5,9.5,4,4.4,187,214,1437,osu/4020786.osu,befaa50fdaab5329e53c9bfd4dc52ac9,true,7.384329795837402,3.700200080871582,3.219520092010498,0.9963679909706116,888.97900390625,1965,188.42300415039062,265.6180114746094,433.0929870605469
68,845391,128931,Feint,Tower Of Heaven (You Are Slaves),Heaven,HDHR,418.425,0.9820208558072636,6.14621,9,9.2,4,6,175,165,927,osu/845391.osu,1dc9bfbad721797aa0d772c473b075e3,true,6.911839962005615,3.5791399478912354,2.834350109100342,0.977849006652832,531.8800048828125,1282,191.83200073242188,188.87399291992188,223.322998046875
69,4599213,2133658,Dragon Guardian,Tenkai e no Kippu,Our Ascension to Heaven,HD,417.032,0.9891615541922291,6.51259,9,9.4,3.6,5.5,190,310,2445,osu/4599213.osu,1ad69431cce4883635af815a826c18d0,true,6.976990222930908,2.992530107498169,3.378109931945801,0.9911680221557617,1874.719970703125,3233,192.30099487304688,259.4670104980469,977.4869995117188
70,2872154,1390922,Serenity,Lionheart,Extreme,HD,414.985,0.9916779127305443,6.51479,9.5,9.6,4.2,6,180,230,1482,osu/2872154.osu,f239eb98ab78bfe8f2e106e6f6a056fb,true,6.893599987030029,3.2552099227905273,3.148010015487671,0.9929929971694946,873.4140014648438,1880,181.73599243164062,276.23199462890625,552.8989868164062
71,5145068,2376493,Levaslater,NNRT,Extra,HDHR,413.178,0.9857723577235772,6.27632,9,9.4,4,5,202,130,656,osu/5145068.osu,d3bdd9141771987e4399f336d85371c3,true,6.8810200691223145,3.379930019378662,3.154560089111328,0.9803150296211243,292.7829895019531,947,125.81999969482422,198.9550018310547,173.9949951171875
72,884664,407175,FELT,New World,Illusion,HDHR,413.085,0.9796852646638055,6.73224,9,9.3,4,6.5,195,241,1165,osu/884664.osu,87c23892caf52ac3866e7ab7f7802956,true,7.301760196685791,3.779449939727783,3.1171300411224365,0.9950550198554993,364.01800537109375,1535,117.69499969482422,173.46600341796875,192.5919952392578
73,5574279,2522607,shuzeios,intro,extreme,HDHR,410.895,0.9787234042553191,6.24033,9.5,9.7,4.7,5,193,34,188,osu/5574279.osu,90d69a31ad82cf4400865f5e13ecd76e,true,7.261300086975098,3.9816699028015137,2.815769910812378,0.9851719737052917,113.2040023803711,249,17.193099975585938,68.17120361328125,75.60810089111328
74,4816640,2262416,ke-ji feat. Nanahira,Ange du Blanc Pur,Extra,HDHR,409.997,0.9791323448654585,6.1658,9.2,9.3,4,5.8,182,236,1214,osu/4816640.osu,1c7032afaaa67d51e2aa87d7174f7261,true,6.758810043334961,3.327039957046509,3.030280113220215,0.996878981590271,656.3690185546875,1733,195.21800231933594,181.53799438476562,349.2019958496094
75,1727980,778657,DECO*27,First Storm -Japanese Version-,eINess' Extra,HDHR,409.436,0.9873015873015873,6.60388,9.2,9.2,4,7,190,228,945,osu/1727980.osu,72093d4692e1ac64167dc1ebbc0d6b9d,true,7.1923298835754395,3.8271100521087646,2.861599922180176,0.9915770292282104,155.677001953125,1364,179.5,118.55999755859375,92.7238998413086
76,5275552,2422339,GLORYHAMMER,Infernus Ad Astra / Rise Of The Chaos Wizards,tacoyaki5's Legend,HD,407.95,0.9844564240790656,6.62041,9.3,9.6,4.2,4.5,180,314,1855,osu/5275552.osu,7a5ac8bdcfd2fb99f5621d19082f7559,true,7.01455020904541,3.309950113296509,3.1969900131225586,0.9891830086708069,1173.9300537109375,2418,97.11830139160156,233.43099975585938,661.8369750976562
77,4511021,2142914,xi,Ascension to Heaven,Climax,HD,406.02,0.9798976608187134,6.74108,9.4,9.4,4,5.7,200,298,1824,osu/4511021.osu,722399bea0ac6e226e94cd72fc655061,true,7.203559875488281,3.067039966583252,3.514780044555664,0.9958299994468689,1364.3499755859375,2592,147.73800659179688,296.12200927734375,692.2760009765625
78,1494828,707032,yaseta,Bluenation,Grace,HD,405.964,0.9929577464788732,6.6731,9,9.5,4,6,180,320,1704,osu/1494828.osu,257099a7bc15792928a55c1a8510e934,true,7.114140033721924,3.4372599124908447,3.068540096282959,0.998045027256012,784.2949829101562,2362,180.91200256347656,241.2570037841797,304.7820129394531
79,4410462,2102240,ShinRa-Bansho,I,Phantasm,HD,405.682,0.984026309607705,7.00759,9.4,9.6,4,4,196,288,1419,osu/4410462.osu,2d5567810def77a96d972dd94ffa03b1,true,7.332900047302246,3.7076199054718018,3.1035399436950684,0.9914330244064331,338.364990234375,1794,133.31500244140625,228.6439971923828,137.7530059814453
80,4943355,2310753,VINXIS,Sidetracked Day (Short Ver.),Lost,HD,404.4,0.9878618113912232,6.80085,9.5,9.6,4,5,188,128,714,osu/4943355.osu,a9f2d7b235db1cd27aa9851c25a6c645,true,7.154280185699463,3.5377800464630127,3.1114699840545654,0.9965360164642334,408.60400390625,989,57.644798278808594,111.82499694824219,248.80999755859375
81,5082120,2358642,Raimukun,Nyarlathotep's Dreamland,Memory Infinity,HD,404.138,0.9701848539057841,6.75227,9.3,9.7,3.8,4,200,136,1118,osu/5082120.osu,0451c6236ae24b17b3a233d7e44c3d6a,true,7.093070030212402,3.2089500427246094,3.418950080871582,0.9947289824485779,731.5609741210938,1438,140.22999572753906,232.50599670410156,374.27801513671875
82,4453223,2119739,Junichi Masuda,Battle! (Champion),Challenge!,HD,402.441,0.9869513641755635,6.65977,9.2,9.6,4.4,7,187,85,562,osu/4453223.osu,356020a74803abd8fe43a39ecdd2ec72,true,6.931429862976074,3.6524899005889893,2.739190101623535,0.996554970741272,402.7030029296875,700,77.56919860839844,162.77200317382812,199.64500427246094
83,5045143,2346142,Halozy feat. Nanahira,Monosugoi Ikioi de Keine ga Monosugoi Uta,AYAYA,HDHR,401.951,0.9904688304997424,5.9236,9.2,9.3,4,5,180,237,1294,osu/5045143.osu,64a5baaf629b5289fd4eb0df75ab51eb,true,6.593959808349609,3.2408299446105957,2.9684898853302,0.9919779896736145,633.427001953125,1827,157.65699768066406,216.656005859375,323.1340026855469
84,609843,267767,cosMo@BousouP,Oceanus,Divinity,HD,400.623,0.9873799725651577,6.61628,8.5,9.4,4,7,196,219,1215,osu/609843.osu,f4dc095eac5ff27848e86ec6c2baa3b8,true,6.984429836273193,3.1976099014282227,3.296070098876953,0.9907029867172241,589.3720092773438,1600,190.39199829101562,235.0030059814453,292.63299560546875
85,5377422,2445629,Unlucky Morpheus,BPM210 no Shanghai Alice (Instrumental),HYPERPIGEON'S EXTRA,HDHR,399.957,0.985969387755102,6.31112,9.2,9.5,3.8,5,211,49,392,osu/5377422.osu,3113a0c6f3fcaa8d10d5fbf552bb5cc0,true,6.88293981552124,3.389930009841919,3.1941800117492676,0.976078987121582,267.614013671875,587,54.31919860839844,126.51899719238281,134.9530029296875
86,4914171,2299790,Cityyy,Running Man,Relay Race,HDHR,398.041,0.9636537541846006,6.2361,9.4,9.4,4.2,6,180,116,697,osu/4914171.osu,f424778f11427bcf018e69314d467e39,true,7.011819839477539,3.529789924621582,3.0733299255371094,0.9926069974899292,574.5850219726562,780,10.812800407409668,93.87329864501953,414.09100341796875
87,495776,210764,Xi,Rokujuu Nenme no Shinsoku Saiban ~ Rapidity is a justice,Justice,HD,396.992,0.9937867338371117,6.75833,9,9.3,4.5,6,195,325,1985,osu/495776.osu,47fff42bfa1ecd2594ca314f4f893474,true,7.1946001052856445,3.328089952468872,3.290440082550049,0.990854024887085,1033.5899658203125,2649,287.8630065917969,283.9530029296875,511.08599853515625
